Request ,BusinessUnit,
"""760237052* AND salesLocation_s:62474 AND shipLocation_s:13417 AND customerAccount_s:AC0158-6317 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Kelly Szymanski"", ""refNum_s"": """"",TRUE,
"""EZD44S2 AND shipLocation_s:14509 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""316066"", ""refNum_s"": ""619519""",TRUE,
"""77-240-2B* AND salesLocation_s:62536 AND shipLocation_s:15609 AND customerAccount_s:AC0159-0427 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Justin LaBanz"", ""refNum_s"": """"",TRUE,
"""49255-H24* AND salesLocation_s:62532 AND shipLocation_s:11726 AND customerAccount_s:AC0158-5595 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Austin Collins"", ""refNum_s"": """"",TRUE,
"""cch AND shipLocation_s:13429 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""231024"", ""refNum_s"": ""619282""",TRUE,
"""screw AND shipLocation_s:13417 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""310311"", ""refNum_s"": ""619498""",TRUE,
"""66-246-4b* AND salesLocation_s:62400 AND shipLocation_s:14112 AND customerAccount_s:AC0159-1988 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Ewan Pessoa"", ""refNum_s"": """"",TRUE,
"""11142628* AND salesLocation_s:62400 AND shipLocation_s:14112 AND customerAccount_s:AC0158-3694 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Michael Cahalan"", ""refNum_s"": """"",TRUE,
"""ftr1u3sp AND shipLocation_s:15812 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""216856"", ""refNum_s"": ""619468""",TRUE,
"""Z6A-PF-48 AND shipLocation_s:11726 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""234661"", ""refNum_s"": ""619461""",TRUE,
"""63-14043* AND salesLocation_s:60682 AND shipLocation_s:15408 AND customerAccount_s:AC0082-3869 AND dcLocation_s:7305 AND businessUnit_s:WESCO"", ""userName_s"": ""Brian Wortmann"", ""refNum_s"": """"",FALSE,
"""11312 AND shipLocation_s:15625 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""307308"", ""refNum_s"": ""619434""",TRUE,
"""mctp6bi-6-10* AND salesLocation_s:61960 AND shipLocation_s:16043 AND customerAccount_s:AC0158-0571 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Alton Balentine"", ""refNum_s"": """"",TRUE,
"""co AND shipLocation_s:16011 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""322620"", ""refNum_s"": ""614115""",TRUE,
"""cc AND shipLocation_s:16043 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""227199"", ""refNum_s"": ""619291""",TRUE,
"""DC6MJKU* AND salesLocation_s:62532 AND shipLocation_s:11726 AND customerAccount_s:AC0158-5595 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Hunter Strickland"", ""refNum_s"": """"",TRUE,
"""ax101783 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""212564"", ""refNum_s"": """"",TRUE,
"""42080-2TS AND shipLocation_s:14506 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""320529"", ""refNum_s"": ""619349""",TRUE,
"""JI945R-000 AND shipLocation_s:12304 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""308638"", ""refNum_s"": ""619368""",TRUE,
"""569439- AND shipLocation_s:14611 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""240568"", ""refNum_s"": ""618912""",TRUE,
"""sph AND shipLocation_s:16041 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""318654"", ""refNum_s"": ""619309""",TRUE,
"""zp AND shipLocation_s:11102 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""224559"", ""refNum_s"": ""619136""",TRUE,
"""CJ AND shipLocation_s:14112 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""210280"", ""refNum_s"": ""619310""",TRUE,
"""10250-E18* AND businessUnit_s:Accu-Tech AND shipLocation_s:12601 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""10GXS13* AND salesLocation_s:62400 AND shipLocation_s:14112 AND customerAccount_s:AC0159-1988 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Ewan Pessoa"", ""refNum_s"": """"",TRUE,
"""V700 AND shipLocation_s:15416 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""328811"", ""refNum_s"": ""617819""",TRUE,
"""P1032CN* AND businessUnit_s:Accu-Tech AND shipLocation_s:13429 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""AX103115 AND shipLocation_s:14112 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""210280"", ""refNum_s"": ""619239""",TRUE,
"""*:* AND transPartOrFilter:(transactablePart_s:LHTG72A23 OR transactablePart_s:DG8793849 OR transactablePart_s:BEY225969) AND salesLocation_s:61171 AND shipLocation_s:12402 AND dcLocation_s:7302 AND customerAccount_s:AC0018-5130 AND businessUnit_s:WESCO"", ""userName_s"": ""Danny Jenkins"", ""refNum_s"": ""QU100031887""",FALSE,
"""18443 AND shipLocation_s:15625 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""329187"", ""refNum_s"": ""619145""",TRUE,
"""AX10 AND shipLocation_s:14112 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""210280"", ""refNum_s"": ""619239""",TRUE,
"""7602573 AND shipLocation_s:14611 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""240568"", ""refNum_s"": ""618912""",TRUE,
"""2413fsd151000* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0158-3408 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Melissa Saul"", ""refNum_s"": """"",TRUE,
"""11142454* AND salesLocation_s:62473 AND shipLocation_s:13429 AND customerAccount_s:AC0158-6112 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""John-Riley Hathcock"", ""refNum_s"": """"",TRUE,
"""QTX-300 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""328501"", ""refNum_s"": ""617047""",TRUE,
"""V-9916M* AND salesLocation_s:62746 AND shipLocation_s:15428 AND customerAccount_s:AC0158-3586 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Robert Bodnar"", ""refNum_s"": """"",TRUE,
"""2413d15* AND salesLocation_s:62532 AND shipLocation_s:11726 AND customerAccount_s:AC0197-4517 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Christian Anderson"", ""refNum_s"": """"",TRUE,
"""hdjs6* AND businessUnit_s:Accu-Tech AND shipLocation_s:12702 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""3/4 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""332869"", ""refNum_s"": ""619117""",TRUE,
"""NKRMFIW AND shipLocation_s:15642 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""313136"", ""refNum_s"": ""618823""",TRUE,
"""00211170000 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""328841"", ""refNum_s"": ""618986""",TRUE,
"""51031-10M* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0163-5298 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""JR Luck"", ""refNum_s"": """"",TRUE,
"""AX102282 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""238367"", ""refNum_s"": """"",TRUE,
"""5300UE_008U1000 AND shipLocation_s:14810 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""308661"", ""refNum_s"": ""618919""",TRUE,
"""80810086 AND shipLocation_s:11726 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""236339"", ""refNum_s"": ""618993""",TRUE,
"""44-751-8C6* AND salesLocation_s:62474 AND shipLocation_s:13417 AND customerAccount_s:AC0196-3252 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Liz Miller"", ""refNum_s"": """"",TRUE,
"""T00009623* AND salesLocation_s:60627 AND shipLocation_s:14507 AND customerAccount_s:AC0050-7254 AND dcLocation_s:7303 AND businessUnit_s:WESCO"", ""userName_s"": ""Dale Cox"", ""refNum_s"": """"",FALSE,
"""vr6 AND shipLocation_s:16023 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""208907"", ""refNum_s"": ""617798""",TRUE,
"""6-554720* AND salesLocation_s:62474 AND shipLocation_s:13417 AND customerAccount_s:AC0158-6317 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Kelly Szymanski"", ""refNum_s"": """"",TRUE,
"""ft06fbk* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0196-5279 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Amanda Wyckoff"", ""refNum_s"": """"",TRUE,
"""ST-05-60* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0162-7547 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""David Eslin"", ""refNum_s"": """"",TRUE,
"""2413FS 0101000* AND businessUnit_s:Accu-Tech AND shipLocation_s:12702 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""830-0eh10x AND shipLocation_s:16023 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""339483"", ""refNum_s"": ""618688""",TRUE,
"""700206758* AND businessUnit_s:Accu-Tech AND shipLocation_s:11726 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""403HDJ26- 88* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0158-2905 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Amanda Wyckoff"", ""refNum_s"": """"",TRUE,
"""kshdmi AND shipLocation_s:15642 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""208850"", ""refNum_s"": ""618768""",TRUE,
"""m67 AND shipLocation_s:15642 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""311815"", ""refNum_s"": ""618788""",TRUE,
"""cat32hp4z34* AND salesLocation_s:62473 AND shipLocation_s:13429 AND customerAccount_s:AC0158-6073 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""John-Riley Hathcock"", ""refNum_s"": """"",TRUE,
"""wch-02p* AND salesLocation_s:62531 AND shipLocation_s:15625 AND customerAccount_s:AC0158-5174 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Christian Beaudet"", ""refNum_s"": """"",TRUE,
"""WMP1E AND shipLocation_s:12908 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""321469"", ""refNum_s"": ""618789""",TRUE,
"""12419-E48 AND shipLocation_s:15642 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""233931"", ""refNum_s"": ""618742""",TRUE,
"""SBP26 AND shipLocation_s:13429 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""307614"", ""refNum_s"": ""618707""",TRUE,
"""12787-536 AND shipLocation_s:14112 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""230714"", ""refNum_s"": ""613579""",TRUE,
"""006t88-31180 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""328947"", ""refNum_s"": ""618720""",TRUE,
"""ap-1tb AND shipLocation_s:14611 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""303596"", ""refNum_s"": ""618661""",TRUE,
"""10250-712 AND shipLocation_s:16011 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""322620"", ""refNum_s"": ""618685""",TRUE,
"""SMWB-2G AND shipLocation_s:11411 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""336274"", ""refNum_s"": ""618714""",TRUE,
"""100020C AND shipLocation_s:12908 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""321469"", ""refNum_s"": ""618709""",TRUE,
"""40546* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0158-2905 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Amanda Wyckoff"", ""refNum_s"": """"",TRUE,
"""FOAS2F10gLCLC-3M AND shipLocation_s:14112 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""230714"", ""refNum_s"": ""613485""",TRUE,
"""31086* AND businessUnit_s:Accu-Tech AND shipLocation_s:12702 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""QCC-A504-0266-009* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0158-2905 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Amanda Wyckoff"", ""refNum_s"": """"",TRUE,
"""040402 AND shipLocation_s:14205 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""230516"", ""refNum_s"": ""618671""",TRUE,
"""9c6r4-a5-06a AND shipLocation_s:14506 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""209989"", ""refNum_s"": ""617931""",TRUE,
"""4855RBUHD3* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0158-1437 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Parker Mitchell"", ""refNum_s"": """"",TRUE,
"""fssc006n0 AND shipLocation_s:11726 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""302568"", ""refNum_s"": ""618474""",TRUE,
"""770 AND shipLocation_s:14810 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""308661"", ""refNum_s"": ""618590""",TRUE,
"""CS34R-2W AND shipLocation_s:15609 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""234627"", ""refNum_s"": ""617943""",TRUE,
"""760249102 AND shipLocation_s:16011 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""322620"", ""refNum_s"": ""614115""",TRUE,
"""760249997 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""238367"", ""refNum_s"": """"",TRUE,
"""mx AND shipLocation_s:15642 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""301951"", ""refNum_s"": ""618535""",TRUE,
